
Thread,Function,Start,Finish,Duration
P#25T#0,MPI_Send,2584294854,2584303776,8922
P#25T#0,main,2584303776,2584451402,147626
P#26T#0,MPI_Recv,2392020208,2592315000,200294792
P#26T#0,main,2592315000,2592435374,120374
P#26T#0,MPI_Send,2592435374,2592443735,8361
P#26T#0,main,2592443735,2592570368,126633
P#24T#0,MPI_Recv,2404035772,2600012293,195976521
P#24T#0,main,2600012293,2600132400,120107
P#24T#0,MPI_Send,2600132400,2600140432,8032
P#24T#0,main,2600140432,2600269293,128861
P#27T#0,MPI_Recv,2388036113,2608026561,219990448
P#27T#0,main,2608026561,2608153057,126496
P#27T#0,MPI_Send,2608153057,2608164275,11218
P#27T#0,main,2608164275,2608343075,178800
P#28T#0,MPI_Recv,2392073459,2620189075,228115616
P#28T#0,main,2620189075,2620308094,119019
P#28T#0,MPI_Send,2620308094,2620317651,9557
P#28T#0,main,2620317651,2620459139,141488
P#29T#0,MPI_Recv,2404038284,2668036390,263998106
P#29T#0,main,2668036390,2668161804,125414
P#29T#0,MPI_Send,2668161804,2668172388,10584
P#29T#0,main,2668172388,2668352349,179961
P#30T#0,MPI_Recv,2383122674,2728041026,344918352
P#30T#0,main,2728041026,2728231203,190177
P#30T#0,MPI_Send,2728231203,2728251300,20097
P#31T#0,MPI_Recv,2376148804,2728257084,352108280
P#31T#0,main,2728257084,2728379841,122757
P#30T#0,main,2728251300,2728388361,137061
P#31T#0,MPI_Send,2728379841,2728389849,10008
P#31T#0,main,2728389849,2728540665,150816
P#13T#0,MPI_Barrier,2464357789,2788275437,323917648
P#13T#0,main,2788275437,2788325754,50317
P#15T#0,MPI_Barrier,2480408789,2794489416,314080627
P#15T#0,main,2794489416,2794521421,32005
P#23T#0,MPI_Barrier,2560402197,2796123644,235721447
P#23T#0,main,2796123644,2796238439,114795
P#11T#0,MPI_Barrier,2456438855,2796270947,339832092
P#11T#0,main,2796270947,2796316713,45766
P#12T#0,MPI_Barrier,2468494410,2800265160,331770750
P#12T#0,main,2800265160,2800312374,47214
P#25T#0,MPI_Barrier,2584451402,2804280252,219828850
P#25T#0,main,2804280252,2804325737,45485
P#27T#0,MPI_Barrier,2608343075,2816035166,207692091
P#27T#0,main,2816035166,2816076074,40908
P#5T#0,MPI_Barrier,2432405071,2816268866,383863795
P#5T#0,main,2816268866,2816310665,41799
P#31T#0,MPI_Barrier,2728540665,2819959196,91418531
P#31T#0,main,2819959196,2820084743,125547
P#26T#0,MPI_Barrier,2592570368,2820090115,227519747
P#26T#0,main,2820090115,2820218411,128296
P#24T#0,MPI_Barrier,2600269293,2824004406,223735113
P#28T#0,MPI_Barrier,2620459139,2824099698,203640559
P#24T#0,main,2824004406,2824124297,119891
P#28T#0,main,2824099698,2824162092,62394
P#6T#0,MPI_Barrier,2440492218,2824190368,383698150
P#6T#0,main,2824190368,2824242860,52492
P#1T#0,MPI_Barrier,2392452045,2828106879,435654834
P#1T#0,main,2828106879,2828214824,107945
P#1T#0,MPI_Recv,2828214824,2828230888,16064
P#1T#0,main,2828230888,2828341222,110334
P#1T#0,MPI_Send,2828341222,2828357797,16575
P#1T#0,main,2828357797,2828398557,40760
P#4T#0,MPI_Barrier,2440619802,2829189726,388569924
P#4T#0,main,2829189726,2829216922,27196
P#14T#0,MPI_Barrier,2480231971,2831980882,351748911
P#30T#0,MPI_Barrier,2728388361,2831985198,103596837
P#14T#0,main,2831980882,2832013953,33071
P#30T#0,main,2831985198,2832018568,33370
P#7T#0,MPI_Barrier,2460318399,2832022861,371704462
P#7T#0,main,2832022861,2832063835,40974
P#19T#0,MPI_Barrier,2557036286,2835991324,278955038
P#19T#0,main,2835991324,2836089575,98251
P#9T#0,MPI_Barrier,2480339579,2840107311,359767732
P#9T#0,main,2840107311,2840243038,135727
P#8T#0,MPI_Barrier,2484457559,2842214011,357756452
P#8T#0,main,2842214011,2842243302,29291
P#20T#0,MPI_Barrier,2572435513,2844002258,271566745
P#20T#0,main,2844002258,2844124020,121762
P#22T#0,MPI_Barrier,2572271248,2848011539,275740291
P#22T#0,main,2848011539,2848044977,33438
P#21T#0,MPI_Barrier,2584272350,2848120189,263847839
P#21T#0,main,2848120189,2848157300,37111
P#0T#0,MPI_Recv,2418811773,2850674715,431862942
P#0T#0,main,2850674715,2850875759,201044
P#0T#0,MPI_Barrier,2850875759,2850896927,21168
P#0T#0,main,2850896927,2850908880,11953
P#0T#0,MPI_Send,2850908880,2850919602,10722
P#0T#0,main,2850919602,2850926228,6626
P#17T#0,MPI_Barrier,2532236145,2852073384,319837239
P#16T#0,MPI_Barrier,2524526541,2852087249,327560708
P#17T#0,main,2852073384,2852131073,57689
P#16T#0,main,2852087249,2852141596,54347
P#3T#0,MPI_Barrier,2463018130,2852341143,389323013
P#3T#0,main,2852341143,2852374534,33391
P#10T#0,MPI_Barrier,2482459205,2854240398,371781193
P#10T#0,main,2854240398,2854370755,130357
P#18T#0,MPI_Barrier,2556208999,2859965352,303756353
P#18T#0,main,2859965352,2859997425,32073
P#5T#0,MPI_Recv,2816310665,2860009728,43699063
P#4T#0,MPI_Recv,2829216922,2860069993,30853071
P#4T#0,main,2860069993,2860187443,117450
P#5T#0,main,2860009728,2860187858,178130
P#4T#0,MPI_Send,2860187443,2860196809,9366
P#4T#0,main,2860196809,2860223279,26470
P#5T#0,MPI_Send,2860187858,2860231315,43457
P#5T#0,main,2860231315,2860337838,106523
P#7T#0,MPI_Recv,2832063835,2866752516,34688681
P#7T#0,main,2866752516,2866866162,113646
P#7T#0,MPI_Send,2866866162,2866874691,8529
P#7T#0,main,2866874691,2866898641,23950
P#29T#0,MPI_Barrier,2668352349,2872070845,203718496
P#29T#0,main,2872070845,2872114871,44026
P#6T#0,MPI_Recv,2824242860,2875930546,51687686
P#6T#0,main,2875930546,2876049158,118612
P#6T#0,MPI_Send,2876049158,2876059059,9901
P#6T#0,main,2876059059,2876088953,29894
P#2T#0,MPI_Barrier,2462969093,2878724464,415755371
P#2T#0,main,2878724464,2878857249,132785
P#2T#0,MPI_Recv,2878857249,2878918290,61041
P#2T#0,main,2878918290,2879030978,112688
P#2T#0,MPI_Send,2879030978,2879038970,7992
P#2T#0,main,2879038970,2879059003,20033
P#3T#0,MPI_Recv,2852374534,2882471212,30096678
P#3T#0,main,2882471212,2882584724,113512
P#3T#0,MPI_Send,2882584724,2882592771,8047
P#3T#0,main,2882592771,2882614487,21716
P#8T#0,MPI_Recv,2842243302,2900025551,57782249
P#8T#0,main,2900025551,2900142191,116640
P#8T#0,MPI_Send,2900142191,2900152034,9843
P#8T#0,main,2900152034,2900179135,27101
P#11T#0,MPI_Recv,2796316713,2908230674,111913961
P#11T#0,main,2908230674,2908353334,122660
P#11T#0,MPI_Send,2908353334,2908364506,11172
P#11T#0,main,2908364506,2908396745,32239
P#9T#0,MPI_Recv,2840243038,2924041994,83798956
P#9T#0,main,2924041994,2924161562,119568
P#9T#0,MPI_Send,2924161562,2924171602,10040
P#9T#0,main,2924171602,2924202632,31030
P#13T#0,MPI_Recv,2788325754,2932009296,143683542
P#12T#0,MPI_Recv,2800312374,2932017511,131705137
P#12T#0,main,2932017511,2932137354,119843
P#12T#0,MPI_Send,2932137354,2932149582,12228
P#13T#0,main,2932009296,2932175013,165717
P#12T#0,main,2932149582,2932181609,32027
P#13T#0,MPI_Send,2932175013,2932221199,46186
P#13T#0,main,2932221199,2932333507,112308
P#10T#0,MPI_Recv,2854370755,2938216783,83846028
P#10T#0,main,2938216783,2938337529,120746
P#10T#0,MPI_Send,2938337529,2938386852,49323
P#10T#0,main,2938386852,2938416074,29222
P#14T#0,MPI_Recv,2832013953,2996012475,163998522
P#14T#0,main,2996012475,2996130839,118364
P#14T#0,MPI_Send,2996130839,2996140816,9977
P#14T#0,main,2996140816,2996170686,29870
P#15T#0,MPI_Recv,2794521421,3008126660,213605239
P#15T#0,main,3008126660,3008248692,122032
P#15T#0,MPI_Send,3008248692,3008259192,10500
P#15T#0,main,3008259192,3008292671,33479
P#16T#0,MPI_Recv,2852141596,3052265924,200124328
P#16T#0,main,3052265924,3052387865,121941
P#16T#0,MPI_Send,3052387865,3052397647,9782
P#16T#0,main,3052397647,3052432007,34360
P#17T#0,MPI_Recv,2852131073,3055801041,203669968
P#17T#0,main,3055801041,3056063992,262951
P#17T#0,MPI_Send,3056063992,3056114330,50338
P#17T#0,main,3056114330,3056167644,53314
P#18T#0,MPI_Recv,2859997425,3070607095,210609670
P#18T#0,main,3070607095,3070723700,116605
P#18T#0,MPI_Send,3070723700,3070731976,8276
P#18T#0,main,3070731976,3070766172,34196
